DATE,ESPCPIALLMINMEI
1960-01-01,2.68266717888327
1960-02-01,2.68049066062181
1960-03-01,2.67722625076056
1960-04-01,2.67940276902202
1960-05-01,2.67124064177606
1960-06-01,2.6690633884527
1960-07-01,2.66797549685292
1960-08-01,2.67341716003752
1960-09-01,2.68974141452945
1960-10-01,2.69681565017562
1960-11-01,2.70008006003687
1960-12-01,2.72021414031372
1961-01-01,2.73164141248283
1961-02-01,2.70933081394451
1961-03-01,2.69735959597552
1961-04-01,2.70443383162169
1961-05-01,2.69735959597552
1961-06-01,2.68266717888327
1961-07-01,2.68266717888327
1961-08-01,2.68702095046809
1961-09-01,2.68919746872955
1961-10-01,2.69953611423698
1961-11-01,2.74143611219036
1961-12-01,2.74633309451318
1962-01-01,2.74143611219036
1962-02-01,2.75395127595925
1962-03-01,2.77789371189725
1962-04-01,2.81707324578927
1962-05-01,2.85298689969626
1962-06-01,2.86767931678851
1962-07-01,2.86767931678851
1962-08-01,2.86060508114233
1962-09-01,2.87801796229594
1962-10-01,2.90576948895697
1962-11-01,2.98031873095609
1962-12-01,3.01840890312455
1963-01-01,3.02548313877072
1963-02-01,3.04942557470872
1963-03-01,3.1087384538157
1963-04-01,3.10656193555424
1963-05-01,3.12397408164595
1963-06-01,3.06629451006243
1963-07-01,3.09894375410817
1963-08-01,3.13104831729212
1963-09-01,3.12397408164595
1963-10-01,3.1326808897537
1963-11-01,3.17185968858383
1963-12-01,3.18383090655283
1964-01-01,3.17893392423
1964-02-01,3.18111044249147
1964-03-01,3.190905142199
1964-04-01,3.202876360168
1964-05-01,3.21103848741396
1964-06-01,3.25402637696713
1964-07-01,3.32422258244333
1964-08-01,3.37646049084224
1964-09-01,3.40965368068788
1964-10-01,3.46570141487172
1964-11-01,3.54569158499356
1964-12-01,3.58704763714705
1965-01-01,3.62241734525415
1965-02-01,3.68445068842249
1965-03-01,3.7132908417452
1965-04-01,3.74049842260633
1965-05-01,3.75573478549847
1965-06-01,3.73886585014476
1965-07-01,3.74376283246758
1965-08-01,3.76280828608276
1965-09-01,3.79872267505164
1965-10-01,3.8188560202666
1965-11-01,3.9010227086499
1965-12-01,3.92333330718822
1966-01-01,3.91625907154204
1966-02-01,3.9129939266189
1966-03-01,3.9129939266189
1966-04-01,3.95054088804935
1966-05-01,4.00822045963287
1966-06-01,4.01583864107894
1966-07-01,4.01366212281748
1966-08-01,4.02073635846366
1966-09-01,4.00822045963287
1966-10-01,4.03270757643265
1966-11-01,4.10290304684696
1966-12-01,4.1295666819082
1967-01-01,4.13174320016966
1967-02-01,4.16384849841551
1967-03-01,4.18126137956912
1967-04-01,4.23948489695253
1967-05-01,4.25417731404478
1967-06-01,4.21717503347611
1967-07-01,4.21989549753747
1967-08-01,4.28138489490592
1967-09-01,4.29335611287491
1967-10-01,4.31076899402851
1967-11-01,4.40055386385788
1967-12-01,4.40055386385788
1968-01-01,4.41306976268867
1968-02-01,4.41306976268867
1968-03-01,4.4582341705033
1968-04-01,4.49741296933343
1968-05-01,4.48272128730308
1968-06-01,4.49523645107197
1968-07-01,4.4582341705033
1968-08-01,4.46095463456466
1968-09-01,4.45388113398037
1968-10-01,4.46802887021083
1968-11-01,4.49741296933343
1968-12-01,4.52734174931782
1969-01-01,4.5170023687485
1969-02-01,4.48979478788736
1969-03-01,4.5170023687485
1969-04-01,4.57032963887099
1969-05-01,4.57032963887099
1969-06-01,4.5170023687485
1969-07-01,4.5523720768556
1969-08-01,4.56652054814795
1969-09-01,4.57522662119381
1969-10-01,4.59263950234741
1969-11-01,4.63345087363911
1969-12-01,4.68242437217678
1970-01-01,4.7047349707151
1970-02-01,4.6867781437616
1970-03-01,4.72269179766859
1970-04-01,4.74881148692994
1970-05-01,4.71779481534577
1970-06-01,4.73575164229927
1970-07-01,4.82499256632874
1970-08-01,4.90117364572755
1970-09-01,4.92348350920397
1970-10-01,4.97245774280353
1970-11-01,4.98551685237231
1970-12-01,4.99966532366467
1971-01-01,5.05244791292537
1971-02-01,5.04863882220233
1971-03-01,5.10196535726293
1971-04-01,5.15583657318531
1971-05-01,5.18739719056937
1971-06-01,5.2091631082459
1971-07-01,5.2091631082459
1971-08-01,5.21841386215354
1971-09-01,5.28044720532188
1971-10-01,5.33867145776719
1971-11-01,5.41104344644296
1971-12-01,5.48178359771905
1972-01-01,5.48613663424198
1972-02-01,5.48178359771905
1972-03-01,5.53511013277964
1972-04-01,5.53511013277964
1972-05-01,5.56231771364078
1972-06-01,5.57537755827145
1972-07-01,5.65155863767026
1972-08-01,5.70978289011556
1972-09-01,5.79031700603729
1972-10-01,5.83004048572921
1972-11-01,5.83929123963685
1972-12-01,5.88445564745148
1973-01-01,5.92853216366633
1973-02-01,5.93778218251208
1973-03-01,5.98675641611164
1973-04-01,6.0716435685563
1973-05-01,6.16088449258577
1973-06-01,6.25447845313818
1973-07-01,6.32140951369123
1973-08-01,6.42534211975106
1973-09-01,6.53634896145708
1973-10-01,6.63973835677891
1973-11-01,6.64790048402487
1973-12-01,6.72027247270064
1974-01-01,6.75999521733066
1974-02-01,6.78284976166887
1974-03-01,6.93031493814366
1974-04-01,7.08213315114137
1974-05-01,7.17137407517085
1974-06-01,7.20239074675502
1974-07-01,7.28782258006146
1974-08-01,7.40808017567511
1974-09-01,7.52452868056573
1974-10-01,7.60451885068756
1974-11-01,7.81456131613058
1974-12-01,7.92175906711356
1975-01-01,8.03276590881956
1975-02-01,8.10949166908016
1975-03-01,8.16227425834086
1975-04-01,8.3059303440926
1975-05-01,8.40823111275276
