,SHIFT,OFFENSE,METHOD,START_DATE,END_DATE
0,MIDNIGHT,HOMICIDE,OTHERS,2012-01-29 03:04:00+00:00,2012-01-29 03:05:11+00:00
1,MIDNIGHT,HOMICIDE,OTHERS,2012-01-29 03:04:00+00:00,2012-01-29 03:05:11+00:00
2,MIDNIGHT,SEX ABUSE,OTHERS,2012-02-18 02:09:00+00:00,2012-02-18 03:15:00+00:00
3,MIDNIGHT,SEX ABUSE,OTHERS,2012-02-18 02:09:00+00:00,2012-02-18 03:15:00+00:00
4,MIDNIGHT,SEX ABUSE,OTHERS,2012-06-15 01:00:00+00:00,2012-06-15 01:15:00+00:00
5,MIDNIGHT,SEX ABUSE,OTHERS,2012-06-15 01:00:00+00:00,2012-06-15 01:15:00+00:00
6,MIDNIGHT,SEX ABUSE,OTHERS,2012-06-01 19:50:00+00:00,2012-06-02 08:00:00+00:00
7,MIDNIGHT,SEX ABUSE,OTHERS,2012-06-01 19:50:00+00:00,2012-06-02 08:00:00+00:00
8,DAY,SEX ABUSE,OTHERS,2012-07-07 06:00:00+00:00,2012-07-07 06:30:00+00:00
9,DAY,SEX ABUSE,OTHERS,2012-07-07 06:00:00+00:00,2012-07-07 06:30:00+00:00
10,MIDNIGHT,SEX ABUSE,OTHERS,2012-11-10 00:46:00+00:00,2012-11-10 00:46:00+00:00
11,MIDNIGHT,SEX ABUSE,OTHERS,2012-11-10 00:46:00+00:00,2012-11-10 00:46:00+00:00
12,DAY,SEX ABUSE,OTHERS,2012-06-06 10:30:00+00:00,2012-06-06 10:30:00+00:00
13,DAY,SEX ABUSE,OTHERS,2012-06-06 10:30:00+00:00,2012-06-06 10:30:00+00:00
14,DAY,SEX ABUSE,OTHERS,2011-07-28 21:30:00+00:00,2011-07-28 22:00:00+00:00
15,DAY,SEX ABUSE,OTHERS,2011-07-28 21:30:00+00:00,2011-07-28 22:00:00+00:00
16,MIDNIGHT,SEX ABUSE,OTHERS,1999-02-17 00:00:00+00:00,1999-02-17 00:00:00+00:00
17,MIDNIGHT,HOMICIDE,GUN,2007-11-12 22:15:00+00:00,2007-11-12 00:00:00+00:00
18,MIDNIGHT,HOMICIDE,GUN,2008-06-03 23:08:00+00:00,2008-06-03 00:00:00+00:00
19,MIDNIGHT,SEX ABUSE,OTHERS,2008-09-15 00:00:00+00:00,2008-09-15 00:00:00+00:00
20,MIDNIGHT,SEX ABUSE,OTHERS,2009-05-31 23:00:00+00:00,2009-06-01 06:00:00+00:00
21,MIDNIGHT,SEX ABUSE,OTHERS,2010-08-27 02:30:00+00:00,2010-08-27 07:15:00+00:00
22,MIDNIGHT,SEX ABUSE,OTHERS,2010-10-09 06:00:00+00:00,2010-10-09 06:00:00+00:00
23,MIDNIGHT,HOMICIDE,GUN,2011-07-17 02:28:00+00:00,
24,MIDNIGHT,HOMICIDE,OTHERS,2011-09-26 06:45:00+00:00,2011-09-26 06:55:00+00:00
25,MIDNIGHT,SEX ABUSE,OTHERS,2011-09-27 00:12:00+00:00,2011-09-27 08:00:00+00:00
26,MIDNIGHT,HOMICIDE,OTHERS,2011-10-27 18:35:00+00:00,2011-10-27 00:00:00+00:00
27,MIDNIGHT,THEFT F/AUTO,OTHERS,2011-12-31 23:00:00+00:00,2011-12-31 23:45:00+00:00
28,MIDNIGHT,ROBBERY,KNIFE,2012-01-01 12:10:00+00:00,2012-01-01 12:30:00+00:00
29,MIDNIGHT,ASSAULT W/DANGEROUS WEAPON,OTHERS,2012-01-01 00:15:00+00:00,2012-01-01 00:20:00+00:00
30,MIDNIGHT,THEFT F/AUTO,OTHERS,2011-12-31 20:30:00+00:00,2012-01-01 00:30:00+00:00
31,MIDNIGHT,THEFT F/AUTO,OTHERS,2011-12-31 23:30:00+00:00,2012-01-01 01:00:00+00:00
32,MIDNIGHT,ASSAULT W/DANGEROUS WEAPON,OTHERS,2012-01-01 01:00:00+00:00,2012-01-01 01:18:00+00:00
33,MIDNIGHT,THEFT/OTHER,OTHERS,2011-12-31 20:00:00+00:00,2012-01-01 00:20:00+00:00
34,MIDNIGHT,THEFT F/AUTO,OTHERS,2011-12-31 23:00:00+00:00,2012-01-01 01:30:00+00:00
35,MIDNIGHT,THEFT F/AUTO,OTHERS,2012-01-01 01:00:00+00:00,2012-01-01 01:30:00+00:00
36,MIDNIGHT,ROBBERY,OTHERS,2011-12-31 18:45:00+00:00,2012-01-01 00:42:00+00:00
37,MIDNIGHT,ASSAULT W/DANGEROUS WEAPON,KNIFE,2012-01-01 00:43:00+00:00,2012-01-01 00:45:00+00:00
38,MIDNIGHT,ASSAULT W/DANGEROUS WEAPON,GUN,2012-01-01 00:43:00+00:00,
39,MIDNIGHT,THEFT/OTHER,OTHERS,2012-01-01 03:00:00+00:00,2012-01-01 03:05:00+00:00
40,MIDNIGHT,ASSAULT W/DANGEROUS WEAPON,OTHERS,2012-01-01 03:25:00+00:00,2012-01-01 03:25:00+00:00
41,MIDNIGHT,ROBBERY,OTHERS,2012-01-01 02:00:00+00:00,2012-01-01 02:00:00+00:00
42,MIDNIGHT,THEFT F/AUTO,OTHERS,2011-12-31 22:35:00+00:00,2012-01-01 03:15:00+00:00
43,MIDNIGHT,ASSAULT W/DANGEROUS WEAPON,OTHERS,2012-01-01 01:55:00+00:00,2012-01-01 02:01:00+00:00
44,MIDNIGHT,BURGLARY,OTHERS,2012-01-01 03:00:00+00:00,2012-01-01 03:19:00+00:00
45,MIDNIGHT,THEFT/OTHER,OTHERS,2012-01-01 02:30:00+00:00,2012-01-01 02:35:00+00:00
46,MIDNIGHT,BURGLARY,OTHERS,2011-12-31 19:15:00+00:00,2012-01-01 02:30:00+00:00
47,MIDNIGHT,BURGLARY,OTHERS,2011-12-31 23:45:00+00:00,2012-01-01 03:15:00+00:00
48,MIDNIGHT,MOTOR VEHICLE THEFT,OTHERS,2011-12-31 23:30:00+00:00,2012-01-01 04:30:00+00:00
49,MIDNIGHT,ASSAULT W/DANGEROUS WEAPON,OTHERS,2012-01-01 04:40:00+00:00,2012-01-01 04:51:00+00:00
50,MIDNIGHT,ROBBERY,OTHERS,2012-01-01 04:45:00+00:00,2012-01-01 04:51:00+00:00
51,MIDNIGHT,ASSAULT W/DANGEROUS WEAPON,KNIFE,2012-01-01 06:40:00+00:00,2012-01-01 07:40:00+00:00
52,DAY,MOTOR VEHICLE THEFT,OTHERS,2012-01-01 00:30:00+00:00,2012-01-01 08:34:00+00:00
53,DAY,THEFT/OTHER,OTHERS,2012-01-01 02:30:00+00:00,2012-01-01 03:00:00+00:00
54,DAY,THEFT F/AUTO,OTHERS,2011-12-31 21:30:00+00:00,2012-01-01 08:30:00+00:00
55,DAY,THEFT F/AUTO,OTHERS,2011-12-31 18:00:00+00:00,2012-01-01 08:00:00+00:00
56,DAY,BURGLARY,OTHERS,2011-12-25 13:30:00+00:00,2012-01-01 09:00:00+00:00
57,DAY,THEFT F/AUTO,OTHERS,2012-01-01 08:00:00+00:00,2012-01-01 08:30:00+00:00
58,DAY,MOTOR VEHICLE THEFT,OTHERS,2011-12-29 16:00:00+00:00,2012-01-01 07:00:00+00:00
59,DAY,THEFT F/AUTO,OTHERS,2012-01-03 14:25:00+00:00,2012-01-03 14:55:00+00:00
60,DAY,THEFT/OTHER,OTHERS,2011-12-31 16:40:00+00:00,2011-12-31 16:45:00+00:00
61,EVENING,THEFT/OTHER,OTHERS,2012-01-02 23:00:00+00:00,2012-01-03 15:05:00+00:00
62,DAY,THEFT F/AUTO,OTHERS,2012-01-02 15:00:00+00:00,2012-01-03 08:00:00+00:00
63,DAY,MOTOR VEHICLE THEFT,OTHERS,2012-01-02 16:00:00+00:00,2012-01-03 08:15:00+00:00
64,DAY,THEFT F/AUTO,OTHERS,2012-01-03 14:30:00+00:00,2012-01-03 14:50:00+00:00
65,EVENING,BURGLARY,OTHERS,2012-01-03 00:15:00+00:00,2012-01-03 15:50:00+00:00
66,DAY,MOTOR VEHICLE THEFT,OTHERS,2012-01-02 20:00:00+00:00,2012-01-03 09:00:00+00:00
67,EVENING,THEFT/OTHER,OTHERS,2012-01-03 13:30:00+00:00,2012-01-03 14:20:00+00:00
68,EVENING,THEFT/OTHER,OTHERS,2012-01-02 20:00:00+00:00,2012-01-03 11:00:00+00:00
69,EVENING,THEFT/OTHER,OTHERS,2012-01-03 14:15:00+00:00,2012-01-03 15:45:00+00:00
70,EVENING,BURGLARY,OTHERS,2012-01-03 13:05:00+00:00,2012-01-03 16:30:00+00:00
71,EVENING,THEFT F/AUTO,OTHERS,2012-01-02 16:20:00+00:00,2012-01-02 16:50:00+00:00
72,EVENING,BURGLARY,OTHERS,2012-01-03 08:00:00+00:00,2012-01-03 16:00:00+00:00
73,EVENING,ROBBERY,OTHERS,2012-01-03 17:20:00+00:00,2012-01-03 17:26:00+00:00
74,EVENING,THEFT/OTHER,OTHERS,2012-01-03 16:30:00+00:00,2012-01-03 17:18:00+00:00
75,EVENING,ROBBERY,GUN,2012-01-03 18:00:00+00:00,2012-01-03 18:02:00+00:00
76,EVENING,ASSAULT W/DANGEROUS WEAPON,GUN,2012-01-03 18:10:00+00:00,2012-01-03 18:11:00+00:00
