,SHIFT,OFFENSE,METHOD,START_DATE,END_DATE
0,MIDNIGHT,SEX ABUSE,OTHERS,2006-12-31 21:00:00+00:00,2007-01-01 02:30:00+00:00
1,MIDNIGHT,HOMICIDE,OTHERS,2007-06-30 03:30:00+00:00,2007-06-30 03:30:00+00:00
2,DAY,BURGLARY,OTHERS,2010-12-23 10:00:00+00:00,2011-01-10 12:00:00+00:00
3,EVENING,MOTOR VEHICLE THEFT,OTHERS,2010-06-25 16:00:00+00:00,2010-06-25 19:00:00+00:00
4,EVENING,SEX ABUSE,OTHERS,2011-07-24 03:00:00+00:00,2011-07-24 05:00:00+00:00
5,EVENING,SEX ABUSE,OTHERS,2011-07-24 03:00:00+00:00,2011-07-24 05:00:00+00:00
6,EVENING,SEX ABUSE,OTHERS,2011-07-24 03:00:00+00:00,2011-07-24 05:00:00+00:00
7,MIDNIGHT,SEX ABUSE,OTHERS,2011-08-27 01:45:00+00:00,2011-08-27 02:00:00+00:00
8,MIDNIGHT,SEX ABUSE,OTHERS,2011-08-27 01:45:00+00:00,2011-08-27 02:00:00+00:00
9,DAY,SEX ABUSE,OTHERS,2011-11-30 02:35:00+00:00,2011-11-30 03:00:00+00:00
10,DAY,SEX ABUSE,OTHERS,2011-11-30 02:35:00+00:00,2011-11-30 03:00:00+00:00
11,MIDNIGHT,SEX ABUSE,OTHERS,2011-04-26 00:20:00+00:00,2011-04-26 02:01:00+00:00
12,MIDNIGHT,SEX ABUSE,OTHERS,2011-04-26 00:20:00+00:00,2011-04-26 02:01:00+00:00
13,DAY,SEX ABUSE,GUN,2011-09-06 02:00:00+00:00,2011-09-06 02:20:00+00:00
14,DAY,SEX ABUSE,GUN,2011-09-06 02:00:00+00:00,2011-09-06 02:20:00+00:00
15,MIDNIGHT,SEX ABUSE,OTHERS,2011-12-10 01:00:00+00:00,2011-12-10 02:24:00+00:00
16,MIDNIGHT,SEX ABUSE,OTHERS,2011-12-10 01:00:00+00:00,2011-12-10 02:24:00+00:00
17,MIDNIGHT,HOMICIDE,GUN,1999-01-09 13:30:00+00:00,1999-01-09 00:00:00+00:00
18,MIDNIGHT,HOMICIDE,GUN,2011-01-23 19:03:00+00:00,2011-01-23 19:04:00+00:00
19,MIDNIGHT,HOMICIDE,GUN,2011-01-23 19:03:00+00:00,2011-01-23 19:04:00+00:00
20,MIDNIGHT,HOMICIDE,GUN,2011-04-06 23:22:00+00:00,2011-04-06 23:22:00+00:00
21,MIDNIGHT,HOMICIDE,GUN,2011-04-06 23:22:00+00:00,2011-04-06 23:22:00+00:00
22,MIDNIGHT,HOMICIDE,GUN,2011-07-09 05:51:00+00:00,2011-07-09 05:55:00+00:00
23,MIDNIGHT,HOMICIDE,GUN,2011-07-09 05:51:00+00:00,2011-07-09 05:55:00+00:00
